,obs_gdp,obs_c,obs_i,obs_g,obs_tr,obs_w,obs_n,obs_ffr,obs_pi,obs_tfp,obs_oil,obs_gas,obs_inflexp,obs_tr10,obs_cy,ec_chi,ec_tr,ec_gn
1992-07-01,2.918905850039266,3.843405415456047,1.3857720142844698,2.7452413465425707,4.4591100468657885,2.632046731255011,-0.2329496658003194,3.2566666666666664,2.362561820420339,-0.0016653966374638772,-0.13994687722186738,7.672948851788242,3.2647,6.61875,,0.0,0.0,0.0
1992-10-01,3.147125925636729,3.771033116643352,9.240704834164148,-1.1623333722162954,5.19909890345982,-0.6551364467868748,-1.1248396768371194,3.0366666666666666,2.9204035567993003,-0.0027911125513846204,-0.20334207522638736,4.303228523369995,3.1441,6.740322580645161,,0.0,0.0,0.0
1993-01-01,-0.33784362937119283,0.6686726691992106,6.421820906054876,-6.469552856513161,1.6247850234076822,-5.1380530769940425,0.9448632433263882,3.0399999999999996,2.748773032395846,-0.023513069281876867,-0.24139320572417777,-0.24316638105297272,3.0516,6.258196721311475,,0.0,0.0,0.0
1993-04-01,1.3218673231605749,2.930049017296099,0.5365696524172847,-1.235815755844527,1.7154545841373547,0.5586453311641648,2.382164897172423,3.0,3.024799723687366,-0.005439376277409434,-0.25061610826791625,-11.277038034884512,3.3758,5.988095238095238,,0.0,0.0,0.0
1993-07-01,0.9100510453112776,2.7945819338508926,-2.863368007875522,-0.9162560638152684,5.948915291955892,-2.163215461898571,1.6056396229844339,3.06,2.2300999718893877,-0.013335660751147536,-0.3612026540187917,-11.365121758157137,2.8344,5.6153125,,0.0,0.0,0.0
1993-10-01,4.407931686786526,2.625700241844342,17.21233086201508,0.8986170780758584,5.102773138680838,0.6859383617931591,1.5204157983699673,2.99,2.0520308764275796,0.011905608176259876,-0.4452251758031217,9.142943600549103,3.0562,5.615967741935484,0.5573655913978497,0.0,0.0,0.0
1994-01-01,2.862608821423862,3.071574937839472,13.58259226120282,-5.2438676882268,-5.85449489915586,-4.226590538973585,0.998192269627296,3.2133333333333334,1.8110351478739517,-0.01314198985070558,-0.5548811310111922,-5.163812486809682,2.8385,6.090322580645162,0.4904838709677426,0.0,0.0,0.0
1994-04-01,4.386928043421534,2.399604196997984,17.60028547791208,1.7197387096153705,0.21490900759388865,1.420070987099975,2.5185847597205324,3.94,2.6825128643984897,-0.0017017804629934435,-0.3773376621033605,-5.683476311190105,2.9567,7.089516129032258,0.45876344086021437,0.0,0.0,0.0
1994-07-01,1.3257284491938748,2.6062396634223717,-7.487605585027524,6.389937176231797,0.33921090184936276,-2.414918139188993,1.4946700286802894,4.486666666666667,2.2270029244918277,-0.009087702133886787,-0.343354745417065,21.70559853842704,2.9038,7.32796875,0.45583333333333353,0.0,0.0,0.0
1994-10-01,3.550370835380434,3.0070494981714546,14.280052357046458,-3.3132559432388575,10.323139982814133,0.9750616613443563,2.494723141830235,5.166666666666667,2.027165358505556,0.011017190695915214,-0.3952327624191875,4.564820378570111,2.9885,7.837213114754098,0.48229508196721227,0.0,0.0,0.0
1995-01-01,0.3936130649140779,-0.23200745019416047,2.8927974997188244,0.9184797752851637,2.1978984785603117,0.1458353253337874,-0.5116305379774033,5.81,2.090802473697906,-0.00715319836000093,-0.3617704161269272,-3.638954696062413,2.8643,7.4712903225806455,0.5358064516129026,0.0,0.0,0.0
1995-04-01,0.16480745479228176,2.864347276104695,-10.118886889205925,1.2886224059286633,-0.5375809025833789,1.37579200978184,-4.062739387741132,6.02,2.367902743031891,0.00033230867112519135,-0.3142043732181762,0.40984056864719065,2.8644,6.60015873015873,0.6630158730158735,0.0,0.0,0.0
1995-07-01,2.3438711486722497,2.232119716221348,-3.235846875224979,-2.2477200092062333,-0.26971462411324865,0.19132904867726896,0.7110720979188301,5.796666666666667,1.9023562292566965,0.00041818788007423916,-0.3992771600317492,-4.857791301932224,2.716,6.329206349206349,0.657460317460318,0.0,0.0,0.0
1995-10-01,1.6513501563576227,1.5561317941539698,6.689845433974995,-4.10309276998575,-6.47129103976436,1.3098732261511703,-0.9166568764008787,5.72,2.0005076522497944,-0.0015718256560096106,-0.38723175147929145,-6.61804329062381,2.525,5.898548387096774,0.6829569892473124,0.0,0.0,0.0
1996-01-01,1.9103542141031937,2.8913271523290263,3.0179838189376085,2.403689760711103,12.126805388651007,2.4089673232288167,-1.2233893452570754,5.363333333333333,1.5696029305924952,0.010373801149836109,-0.30689788936304796,19.474634299384697,2.4995,5.910483870967742,0.6659677419354839,0.0,0.0,0.0
1996-04-01,5.518163426478395,4.199042407096698,15.43189124415889,1.6733777293453045,4.217159282120697,2.0660951202871036,3.1968345566557588,5.243333333333333,1.8974321429318763,0.0009874791963647334,-0.21528250936012616,21.819284379803783,2.5514,6.7140625,0.5126562499999991,0.0,0.0,0.0
1996-07-01,2.451711743005447,1.6870578171570116,13.051809363471278,0.004918784477325744,-4.597631479130726,1.7608834341487078,2.620352019966532,5.306666666666667,1.820507471401811,-0.0007805939097565878,-0.18837335081195217,-12.146906786979272,2.5337,6.7759375,0.49906249999999996,0.0,0.0,0.0
1996-10-01,2.996972940400866,2.6237346107702564,-1.7035922823225746,1.7694514521423343,0.2662992529268493,0.21855327829507498,1.198211273992733,5.28,2.2706152643269917,0.0013720221164194141,-0.09834171339451159,15.152955165538806,2.4953,6.354193548387096,0.5151612903225802,0.0,0.0,0.0
1997-01-01,1.40413481705437,2.4110208204771055,7.717333485835098,-3.4728261816702855,-0.003028312486286211,2.112714149961392,0.8807679172038618,5.276666666666666,1.5683318643308297,-0.009308142932927371,-0.18343026276760066,6.845938247561456,2.4325,6.566999999999999,0.5150000000000006,0.0,0.0,0.0
1997-04-01,5.418642073284374,0.8153339659884296,15.449837754266582,4.96392360769633,-2.0154826010498894,2.8353659992610414,2.2039650471999295,5.523333333333333,2.081589387953642,0.010539310775024957,-0.3206802430530259,-26.704583332212373,2.3861,6.6996875000000005,0.5488020833333334,0.0,0.0,0.0
1997-07-01,3.747180979106801,4.856432423791901,5.758749456904866,0.31770081392323846,0.3065741558934576,2.197113327715816,1.8280945678679217,5.533333333333334,0.9328215097198722,0.010263249327705152,-0.33125214857975205,4.146593561306844,2.3879,6.2421875,0.5781249999999991,0.0,0.0,0.0
1997-10-01,2.1623075200317032,3.4410490439736208,2.147273059342325,2.4294761220929217,6.324834401760171,5.87478352483739,0.45814827618890774,5.506666666666667,1.2638241161472052,-0.0009904363037122324,-0.32785502524731436,1.3505077228050055,2.2083,5.906290322580645,0.6579569892473112,0.0,0.0,0.0
1998-01-01,2.726620960377346,2.217972565952664,14.322464808920188,-3.5555049763949853,-2.347940146153782,6.17557666766646,-1.1877297637221673,5.52,1.1768382139329958,0.007053521592633392,-0.5526272704751954,-34.693348591516404,2.1177,5.590983606557377,0.7151912568306011,0.0,0.0,0.0
1998-04-01,2.388631243075068,5.461043902562679,-6.126197965105007,6.754305601867827,-0.769302225121038,4.043071800754616,-0.6139788096751531,5.5,1.223045394125677,0.005567762809573841,-0.6385248635076889,-17.98869275184014,1.9352,5.593015873015873,0.7046031746031751,0.0,0.0,0.0
1998-07-01,3.681950813439272,3.402178351930729,7.658266931283464,2.8231658621500344,0.5065016398848599,4.660375315650722,0.0031903432464730486,5.533333333333334,1.417288901129865,0.009931461530733115,-0.6791146315708426,-1.6935067990790031,2.09,5.20734375,0.8810937499999989,0.0,0.0,0.0
1998-10-01,5.033832007111272,4.305960519151242,10.035094710431025,2.4550414926316932,6.939572110771408,1.1278310838811367,0.8475110560011601,4.86,1.2734727038456128,-0.004396974538533869,-0.7776638707776796,-8.810631645633471,2.03,4.661935483870968,0.9581720430107525,0.0,0.0,0.0
1999-01-01,2.3579102575276067,2.1916860017373807,9.621010293848542,2.555690799412247,1.556436063581934,5.752117933041124,-0.19242346618764117,4.733333333333333,1.0016539814294845,0.017526806094493322,-0.7649416185081318,-11.880347545097436,1.879,5.000819672131148,0.7481967213114755,0.0,0.0,0.0
1999-04-01,1.9288469456924417,5.4331164967813095,-3.92984468058728,3.18331881837679,-1.9332627557481885,0.14964806710243694,-0.9733410896751948,4.746666666666667,1.3861300951614197,-0.009306244841646844,-0.4659424621071865,44.589588949855674,1.9338000000000002,5.54125,0.8444270833333336,0.0,0.0,0.0
1999-07-01,3.8453800284617756,3.831467891777862,6.870726130955518,6.3186037016976115,4.466420630661894,2.048635540688115,-0.35418032465965865,5.093333333333334,1.4700067976651354,0.0009613969422760447,-0.26177562388990416,30.41867726938019,2.0043,5.88296875,0.9241666666666672,0.0,0.0,0.0
1999-10-01,5.071016300422215,4.578772402961562,8.69485307661364,7.2162592530851555,2.233534015291383,5.7961370950561975,1.0532106842346067,5.306666666666667,1.8772174071937542,0.010723365343870011,-0.14505377122414653,21.36833458239966,1.9049999999999998,6.14483870967742,0.8702150537634408,0.0,0.0,0.0
2000-01-01,0.00017034688859496327,5.144109497578242,-4.601753264898889,-2.2736686793280114,-3.7146330338018174,11.156169766570956,5.473729284051743,5.676666666666667,2.0906440296744933,-0.0002709221625137306,0.007671749387697213,45.37261603637326,2.0059,6.468412698412698,1.1295238095238105,0.0,0.0,0.0
